AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,562000,Waste Management and Remediation Services,3-digit,5,47-5099,"Extraction Workers, All Other",detailed,**,**,,,**,**,21.09,43860,27.2,16.66,17.57,23.12,23.65,24.35,34660,36550,48090,49190,50640,,
99,U.S.,1,US,562000,Waste Management and Remediation Services,3-digit,5,49-0000,"Installation, Maintenance, and Repair Occupations",major,30920,2,,,6.16,27,30.33,63090,0.6,18.86,23.02,29.28,36.13,42.84,39230,47870,60910,75150,89110,,
99,U.S.,1,US,562000,Waste Management and Remediation Services,3-digit,5,49-1000,"Supervisors of Installation, Maintenance, and Repair Workers",minor,2500,3.6,,,0.5,5,42.66,88730,0.9,26.45,34.62,41.26,49.51,61.1,55010,72010,85820,102980,127100,,
99,U.S.,1,US,562000,Waste Management and Remediation Services,3-digit,5,49-1010,"First-Line Supervisors of Mechanics, Installers, and Repairers",broad,2500,3.6,,,0.5,5,42.66,88730,0.9,26.45,34.62,41.26,49.51,61.1,55010,72010,85820,102980,127100,,
99,U.S.,1,US,562000,Waste Management and Remediation Services,3-digit,5,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",detailed,2500,3.6,,,0.5,5,42.66,88730,0.9,26.45,34.62,41.26,49.51,61.1,55010,72010,85820,102980,127100,,
99,U.S.,1,US,562000,Waste Management and Remediation Services,3-digit,5,49-2000,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",minor,400,20.5,,,0.08,~,31.83,66210,9.1,13.26,19.25,32.77,44.29,49.35,27580,40040,68160,92130,102650,,
99,U.S.,1,US,562000,Waste Management and Remediation Services,3-digit,5,49-2090,"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",broad,390,20.9,,,0.08,~,31.94,66430,9.2,13.26,19.25,32.77,44.56,49.35,27580,40040,68160,92680,102650,,
99,U.S.,1,US,562000,Waste Management and Remediation Services,3-digit,5,49-2092,"Electric Motor, Power Tool, and Related Repairers",detailed,50,22.5,,,0.01,~,32.63,67870,6.5,21.18,22.18,32.77,42.52,47.01,44050,46130,68160,88440,97780,,
99,U.S.,1,US,562000,Waste Management and Remediation Services,3-digit,5,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",detailed,250,28.3,,,0.05,~,37.45,77900,7.4,21.2,29.67,40.43,46.95,49.78,44090,61710,84090,97660,103530,,
99,U.S.,1,US,562000,Waste Management and Remediation Services,3-digit,5,49-3000,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",minor,15610,2.4,,,3.11,18,30.12,62640,0.8,20.94,23.85,29.25,35.38,39.57,43550,49620,60840,73580,82300,,
