AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,99,"Federal, State, and Local Government, excluding State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)",sector,123,13-1161,Market Research Analysts and Marketing Specialists,detailed,7970,1.7,,,0.08,5,36.26,75430,0.6,21.63,26.88,33.45,43.51,55.11,44990,55910,69580,90500,114640,,
99,U.S.,1,US,99,"Federal, State, and Local Government, excluding State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)",sector,123,13-1190,Miscellaneous Business Operations Specialists,broad,289400,0.1,,,2.87,14,47.15,98070,0.1,27.4,34.88,44.59,56.34,69.16,56990,72550,92750,117190,143850,,
99,U.S.,1,US,99,"Federal, State, and Local Government, excluding State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)",sector,123,13-1199,"Business Operations Specialists, All Other",detailed,289400,0.1,,,2.87,14,47.15,98070,0.1,27.4,34.88,44.59,56.34,69.16,56990,72550,92750,117190,143850,,
99,U.S.,1,US,99,"Federal, State, and Local Government, excluding State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)",sector,123,13-2000,Financial Specialists,minor,290360,0.3,,,2.88,37,41.35,86010,0.1,23.01,29.21,38.09,49.78,62.39,47870,60760,79230,103530,129760,,
99,U.S.,1,US,99,"Federal, State, and Local Government, excluding State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)",sector,123,13-2010,Accountants and Auditors,broad,117080,0.3,,,1.16,26,42.57,88540,0.2,25.32,30.67,39.06,50.51,62.76,52670,63800,81240,105060,130540,,
99,U.S.,1,US,99,"Federal, State, and Local Government, excluding State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)",sector,123,13-2011,Accountants and Auditors,detailed,117080,0.3,,,1.16,26,42.57,88540,0.2,25.32,30.67,39.06,50.51,62.76,52670,63800,81240,105060,130540,,
99,U.S.,1,US,99,"Federal, State, and Local Government, excluding State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)",sector,123,13-2020,Property Appraisers and Assessors,broad,30510,2.4,,,0.3,12,35.01,72830,0.5,19.12,23.71,30.84,41.6,54.83,39770,49310,64140,86520,114040,,
99,U.S.,1,US,99,"Federal, State, and Local Government, excluding State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)",sector,123,13-2020,Property Appraisers and Assessors,detailed,30510,2.4,,,0.3,12,35.01,72830,0.5,19.12,23.71,30.84,41.6,54.83,39770,49310,64140,86520,114040,,
99,U.S.,1,US,99,"Federal, State, and Local Government, excluding State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)",sector,123,13-2030,Budget Analysts,broad,23410,0.2,,,0.23,4,46.16,96000,0.1,29.85,35.82,44.15,54.68,64.63,62090,74510,91830,113730,134430,,
99,U.S.,1,US,99,"Federal, State, and Local Government, excluding State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)",sector,123,13-2031,Budget Analysts,detailed,23410,0.2,,,0.23,4,46.16,96000,0.1,29.85,35.82,44.15,54.68,64.63,62090,74510,91830,113730,134430,,
